Ano,Mes,Venta_GNV_m3,Venta_GNV_Bs,Venta_Almacen,Total_Ingresos,Costo_GNV,Gastos_Operacion,Gastos_Admin,Gastos_CG,Impuestos,Total_Egresos,Resultado_Bs,Resultado_Dolar,Ganancia_m3,Inv_Inicial,Inv_Recuperada,Porcentaje recuperado
2018,1,109863,182372.58,266.43,182639.01,69213.69,48055.09,3922.67,4058.92,9109,134359.37,48279.64,6936.73,,,,
2018,2,89302,148241.32,211.79,148453.11,56260.26,45478.75,4099.18,2717.56,6438,114993.75,33459.36,4807.38,,,,
2018,3,98227,163056.82,108.31,163165.13,61883.01,45600.06,4520.94,1767.64,8964,122735.65,40429.48,5808.83,,,,
2018,4,101405,168332.30,137.80,168470.10,63885.15,46941.30,4520.94,4274.44,4729,124350.83,44119.27,6338.98,,,,
2018,5,105414,174987.24,149.62,175136.86,66410.82,48893.0745,4913,4357.57,9245,133819.4645,41317.3955,5936.407399,,,,
2018,6,101252,168078.32,146.12,168224.44,63788.76,47153.398,5406,6508.51,8110,130966.668,37257.772,5353.128161,,,,
2018,7,113668,188688.88,163.29,188852.17,71610.84,46660.665,4948.75,4453.88,10867.78485,138541.9199,50310.25015,7228.484217,,,,
2018,8,104501,173471.9588,169.79,173641.7488,65835.7434,50589.471,4834.953,5009.24,8206.4021,134475.8095,39165.9393,5627.290129,,,,
2018,9,104494,173460.04,64.65,173524.69,65831.22,46843.078,5448.77,2137.54,9557,129817.608,43707.082,6279.753161,,,,
2018,10,105688,175442.08,192.14,175634.22,66583.44,45509.2785,5448.75,12254.12,9159,138954.5885,36679.6315,5270.061997,,,,
2018,11,100507,166841.62,178.64,167020.26,63319.41,43577.877,5987.01,8373.61,2453.2339,123711.1409,43309.1191,6222.574583,,,,
2018,12,124468,206616.88,148.47,206765.35,78414.84,43871.196,6023.18,19633.12,14332,162274.336,44491.014,6392.387069,,,,
2019,1,105385,174939.1,143.8,175082.9,66392.55,45253.81,6066.97,5417.72,12175,135306.05,39776.85,5715.064655,,,,
2019,2,119713,198723.58,131.31,198854.89,75419.19,43882.43,5569.87,5556.32,14203,144630.81,54224.08,7790.816092,,,,
2019,3,142912,237233.92,245.63,237479.55,90034.56,55231.05,5343.25,7696.8,19097,177402.66,60076.89,8631.737069,,,,
2019,4,108700,180442,106.66,180548.66,68481,51677.34,5572.79,7893.88,7587,141212.01,39336.65,5651.817529,,,,
2019,5,102697,170477.02,154.97,170631.99,64699.11,50130.58,6727.86,5769.85,8788,136115.4,34516.59,4959.280172,,,,
2019,6,100130,166215.8,93.16,166308.96,63081.9,50331.1935,9011.5,3685.58,7756,133866.1735,32442.7865,4661.319899,,,,
2019,7,104549,173551.34,111.32,173662.66,65865.87,51706.4285,8299.43,3472.6,8775,138119.3285,35543.3315,5106.800503,0.34,500000,180290.1006,0.360580201
2019,8,133137,221007.42,142.63,221150.05,83876.31,52246.5285,8299.43,7700.08,11147.8536,163270.2021,57879.8479,8316.070101,0.434739012,500000,188606.1707,0.377212341
2019,9,147919,245545.54,112.66,245658.2,93188.97,56432.774,8127.97,8716.4,12954,179420.114,66238.086,9516.966379,0.447799715,500000,198123.1374,0.396246275
2019,10,123219,204543.54,62.65,204606.19,77627.97,55936.23,8160.26,12574.64,10844,165143.1,39463.09,5669.984195,0.320267897,500000,203793.1216,0.407586243
2019,11,97313,161539.58,34.33,161573.91,61307.19,48786.427,8021.6,2367.4,14637.2713,135119.8883,26454.0217,3800.865187,0.271844684,500000,207399.4796,0.414798959
2019,12,164196,272565.36,167.8,272733.16,103443.48,53436.198,8160.26,31990.63,23744,220774.568,51958.592,7465.314943,0.316442496,500000,214864.7946,0.4297
2020,1,137363,228022.58,79.65,228102.23,86538.69,57787.641,8193.171333,7748.94,16114,176382.4423,51719.78767,7431.003975,0.37651906,500000,222295.7985,0.444591597
2020,2,111217,184620.22,84.15,184704.37,70066.71,55404.3865,8298.91,6885.28,10759,151414.2865,33290.0835,4783.057974,0.299325494,500000,227078.8568,0.454157714
2020,3,67017,111248.22,58.83,111307.05,42220.71,48744.407,8298.91,1874,6396,107534.027,3773.023,542.1010057,0.056299491,500000,227620.9579,0.455241916
2020,4,13620,22609.2,39.66,22648.86,9533.79,30771.03,8021.59,0,372.6813473,48699.09135,-26050.23135,-3742.849332,-1.912645473,500000,227620.9579,0.455241916
2020,5,26905,44662.3,16.33,44678.63,16131.87,30149.42,8166.320492,0,1152,55599.61049,-10920.98049,-1569.106393,-0.405908957,500000,227620.9579,0.455241916
2020,6,46034,76416.44,0,76416.44,31568.75,31210.22,8166.316,2861.5,3286,77092.786,-676.346,-97.17614943,-0.014692314,500000,227620.9579,0.455241916
2020,7,73234,121568.44,63.49,121631.93,49758.94,38813.38,4805.08,6990.9,5324,105692.3,15939.63,2290.176724,0.217653412,500000,229911.1346,0.459822269
2020,8,79268,131584.88,12.33,131597.21,62682.82,46418.78,6406.8,2365,4450,122323.4,9273.81,1332.443966,0.116993112,500000,231243.5785,0.462487157
